ok  	github.com/cjohnstoniv/wardyn/cmd/wardyn	2.562s
ok  	github.com/cjohnstoniv/wardyn/cmd/wardyn-aws-sso	0.067s
ok  	github.com/cjohnstoniv/wardyn/cmd/wardyn-git-helper	12.049s
ok  	github.com/cjohnstoniv/wardyn/cmd/wardyn-proxy	0.006s
ok  	github.com/cjohnstoniv/wardyn/cmd/wardyn-rec	0.754s
ok  	github.com/cjohnstoniv/wardyn/cmd/wardyn-runner	0.222s
?   	github.com/cjohnstoniv/wardyn/cmd/wardyn-scan	[no test files]
ok  	github.com/cjohnstoniv/wardyn/cmd/wardyn-tetragon-ingest	4.533s
ok  	github.com/cjohnstoniv/wardyn/cmd/wardyn-toolgate	0.341s
ok  	github.com/cjohnstoniv/wardyn/cmd/wardynd	17.974s
?   	github.com/cjohnstoniv/wardyn/examples/workspaces/github-push	[no test files]
ok  	github.com/cjohnstoniv/wardyn/internal/api	72.568s
ok  	github.com/cjohnstoniv/wardyn/internal/approval	0.004s
ok  	github.com/cjohnstoniv/wardyn/internal/audit	0.006s
ok  	github.com/cjohnstoniv/wardyn/internal/audit/sinks	10.649s
ok  	github.com/cjohnstoniv/wardyn/internal/auth/oidc	6.774s
ok  	github.com/cjohnstoniv/wardyn/internal/broker	4.529s
ok  	github.com/cjohnstoniv/wardyn/internal/cliutil	0.004s
ok  	github.com/cjohnstoniv/wardyn/internal/component	0.002s
ok  	github.com/cjohnstoniv/wardyn/internal/composer	0.008s
ok  	github.com/cjohnstoniv/wardyn/internal/contentscan	0.370s
ok  	github.com/cjohnstoniv/wardyn/internal/db	0.131s
ok  	github.com/cjohnstoniv/wardyn/internal/directory	0.024s
ok  	github.com/cjohnstoniv/wardyn/internal/egress	0.005s
?   	github.com/cjohnstoniv/wardyn/internal/egress/evaluatortest	[no test files]
ok  	github.com/cjohnstoniv/wardyn/internal/egress/proxy	23.010s
ok  	github.com/cjohnstoniv/wardyn/internal/envbuild	0.005s
ok  	github.com/cjohnstoniv/wardyn/internal/gitremote	0.299s
ok  	github.com/cjohnstoniv/wardyn/internal/groundtruth	0.004s
ok  	github.com/cjohnstoniv/wardyn/internal/hostrules	0.003s
?   	github.com/cjohnstoniv/wardyn/internal/identity	[no test files]
ok  	github.com/cjohnstoniv/wardyn/internal/identity/embedded	0.013s
?   	github.com/cjohnstoniv/wardyn/internal/identity/identitytest	[no test files]
ok  	github.com/cjohnstoniv/wardyn/internal/ipguard	0.004s
ok  	github.com/cjohnstoniv/wardyn/internal/lifecycle	0.005s
ok  	github.com/cjohnstoniv/wardyn/internal/recording	0.025s
?   	github.com/cjohnstoniv/wardyn/internal/recording/recordingtest	[no test files]
ok  	github.com/cjohnstoniv/wardyn/internal/recordmode	0.006s
ok  	github.com/cjohnstoniv/wardyn/internal/runner	0.030s
ok  	github.com/cjohnstoniv/wardyn/internal/runner/docker	54.760s
ok  	github.com/cjohnstoniv/wardyn/internal/runner/orchestrator	0.032s
?   	github.com/cjohnstoniv/wardyn/internal/runner/substrate	[no test files]
ok  	github.com/cjohnstoniv/wardyn/internal/secretmask	0.005s
?   	github.com/cjohnstoniv/wardyn/internal/secretstore	[no test files]
ok  	github.com/cjohnstoniv/wardyn/internal/secretstore/pg	0.006s
?   	github.com/cjohnstoniv/wardyn/internal/secretstore/secretstoretest	[no test files]
ok  	github.com/cjohnstoniv/wardyn/internal/setup	6.224s
ok  	github.com/cjohnstoniv/wardyn/internal/sidecar	0.011s
ok  	github.com/cjohnstoniv/wardyn/internal/store	0.024s
ok  	github.com/cjohnstoniv/wardyn/internal/subscription	0.430s
ok  	github.com/cjohnstoniv/wardyn/internal/types	0.013s
?   	github.com/cjohnstoniv/wardyn/internal/version	[no test files]
ok  	github.com/cjohnstoniv/wardyn/internal/workspacescan	0.316s
ok  	github.com/cjohnstoniv/wardyn/pkg/client	0.355s
ok  	github.com/cjohnstoniv/wardyn/test/apie2e	0.010s
ok  	github.com/cjohnstoniv/wardyn/test/awsssofake	0.019s
?   	github.com/cjohnstoniv/wardyn/test/awsssofake/cmd	[no test files]
ok  	github.com/cjohnstoniv/wardyn/test/conformance	0.021s
